codi_estacio,nom_estacio,latitud,longitud,RS,HRx,T,HR,PPT,Tx,Tn,HRn,PPTx1min,DV10,DVVx10,Px,Pn,VV10,P,VVx10,GNEU,VV2,DV2,VVx2,DVVx2,RN,VV6,DV6,VVx6,DVVx6,X,Y
C6,Castellnou de Seana,41.6566,0.95172,942,30,29.8,28,0,30.6,29.2,25,0,132,145,984.8,984.4,5.1,984.6,8,,,,,,,,,,,329453.0513342636,4613676.724493007
C7,Tàrrega,41.66695,1.16234,963,24,29,23,0,29.6,28.2,22,0,173,187,967.3,966.8,6.2,967.1,10.7,,,,,,,,,,,347015.26848598017,4614430.429230251
C8,Cervera,41.67555,1.29609,957,28,26.9,27,0,27.3,26.5,25,0,186,199,953,952.8,6.4,952.9,11.1,,,,,,,,,,,358169.20930403593,4615156.414477532
C9,Mas de Barberans,40.71825,0.39988,953,36,24.8,34,0,25.5,24.4,31,0,185,192,989,988.8,4.2,988.9,8,,,,,,,,,,,280386.02755531634,4510732.79695874
CC,Orís,42.07398,2.20862,957,29,27.8,27,0,28.4,27.4,24,0,196,168,945,944.8,2.9,944.9,7.6,,,,,,,,,,,434535.54362558026,4658293.1528683305
CD,la Seu d'Urgell - Bellestar,42.37083,1.43277,778,30,26.5,28,0,27.5,25.3,27,0,222,212,920,919.8,6.2,919.9,11.7,,,,,,,,,,,370960.5458769129,4692139.911158145
CE,els Hostalets de Pierola,41.53109,1.80813,945,24,28.5,22,0,29,28.2,21,0,187,216,980.2,979.9,4.3,980,7.7,,,,,,,,,,,400569.9380243217,4598401.555451556
CG,Molló - Fabert,42.37717,2.41456,956,42,20.9,40,0,21.3,20.5,38,0,187,177,862.8,862.6,5.8,862.7,9.7,20,,,,,,,,,,451802.54219803703,4691820.328231583
CI,Sant Pau de Segúries,42.25839,2.36429,,35,25,33,0,25.7,24.4,30,0,224,174,919.8,919.4,2.5,919.6,7.6,,,,,,,,,,,447565.43234412104,4678661.237245191
CJ,Organyà,42.21624,1.33132,815,29,28.3,27,0,29.3,27.2,25,0,202,157,950.2,949.8,4.1,950,9,,,,,,,,,,,362270.83253951714,4675133.389692093
CL,Sant Salvador de Guardiola,41.67399,1.76796,971,25,29.7,24,0,30.1,29.1,23,0,164,170,976.3,976,3.1,976.2,8.8,,,,,,,,,,,397445.29881411174,4614313.925079213
CP,Sant Romà d'Abella,42.13924,1.03893,843,35,28,33,0,28.8,27.2,30,0,198,188,937.9,937.6,2.2,937.8,4.9,,,,,,,,,,,337940.17900525784,4667097.239193328
CQ,Vilanova de Meià,41.99546,1.02569,,30,27.7,29,0,28.1,27.3,28,0,189,167,948,947.8,3,947.9,6.4,,,,,,,,,,,336477.2714310491,4651157.558880975
CR,la Quar,42.08032,1.9624,,38,25.4,36,0,25.8,25,34,0,202,222,918.8,918.5,2.2,918.5,6,,,,,,,,,,,414176.0975496463,4659214.956141905
CT,el Pont de Suert,42.39811,0.74362,694,35,25,32,0,25.8,24.2,30,0,151,179,923.3,923,2.6,923.2,6.3,,,,,,,,,,,314296.8300808389,4696445.705407479
CW,l'Espluga de Francolí,41.39241,1.09894,947,30,25.5,29,0,26.2,25.1,28,0,84,73,965,964.7,5.6,964.8,9.6,,,,,,,,,,,341066.2191764107,4584063.539352429
CY,Muntanyola,41.87813,2.17873,926,32,25.1,31,0,25.6,24.6,29,0,237,245,924.9,924.6,4.3,924.7,8.9,,,,,,,,,,,431854.48864427797,4636571.32129817
D1,Margalef,41.28521,0.75383,963,29,27,28,0,27.8,25.9,26,0,91,67,969.3,968.5,3.3,969,9.4,,,,,,,,,,,311903.99521610455,4572852.223227589
D2,Vacarisses,41.59252,1.915,,28,28,27,0,28.2,27.7,25,0,,,976.8,976.4,,976.6,,,,,,,,,,,,409571.2463262686,4605104.2152731465
D3,Vallirana,41.38197,1.93564,961,26,28.4,25,0,29.3,27.7,23,0,179,143,987.5,987.1,3.6,987.3,6.9,,,,,,,,,,,411003.80507662235,4581707.25990347
D4,Roses,42.27065,3.18165,945,58,24.4,56,0,25,23.8,54,0,114,97,1012.9,1012.3,5.5,1012.6,10.4,,,,,,,,,,,514979.906702641,4679842.867983261
D5,Barcelona - Observatori Fabra,41.41843,2.12388,951,39,26.8,37,0,27.1,26.5,35,0,209,215,970.2,970,4.5,970,6.9,,,,,,,,,,,426784.55462779745,4585578.790539996
D6,Portbou,42.43515,3.16622,950,44,26.7,42,0,27.6,25.6,40,0,178,169,992,991.6,8.5,991.8,12,,,,,,,,,,,513671.76072372356,4698105.651074707
D7,Vinebre,41.18499,0.59376,937,32,28.3,31,0,28.8,27.9,30,0,134,148,1009.8,1009.3,5.5,1009.5,8.9,,,,,,,,,,,298190.4062340014,4562084.398388742
D8,Horta de Sant Joan,40.95134,0.30565,972,37,26.6,35,0,27.1,26.3,33,0,133,126,955.3,955,5.4,955.2,9.6,,,,,,,,,,,273222.5403259104,4536851.529993111
D9,el Vendrell,41.21553,1.52121,927,46,26.2,43,0,27,25.4,40,0,142,145,1010.4,1010.2,2.7,1010.3,5.4,,,,,,,,,,,376035.6690453318,4563737.572242028
DB,el Perelló,40.87287,0.71581,959,65,24.1,62,0,24.5,23.8,60,0,131,118,996.3,996.1,3.6,996.2,6.1,,,,,,,,,,,307520.0638343622,4527156.012691713
DF,la Bisbal d'Empordà,41.97751,3.03543,820,44,27.2,41,0,28.4,26.2,39,0,182,161,1012.3,1012.1,3,1012.2,8.9,,,,,,,,,,,502935.26131559076,4647279.797938017
DG,Núria (1.971 m),42.39848,2.15517,987,53,15.8,50,0,16.4,15.2,48,0,231,206,806.9,806.5,2.8,806.7,7.3,1,,,,,,,,,,430471.1689772492,4694366.197609222
