,codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici
0,X4,Barcelona - el Raval,A,41.3839,2.16775,"{'type': 'Point', 'coordinates': [2.16775, 41.3839]}","Facultat de Geografia i Història. c. Montalegre nº6, 6a",33,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,2006-10-11T00:00:00.000
1,YG,Tírvia,A,42.51881,1.24244,"{'type': 'Point', 'coordinates': [1.24244, 42.51881]}",Heliport de Tírvia,954,634,Tírvia,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2018-01-11T00:00:00.000
2,VY,Nulles,A,41.25095,1.29863,"{'type': 'Point', 'coordinates': [1.29863, 41.25095]}",Cooperativa agrària,240,12,Nulles,1,Alt Camp,43,Tarragona,1,XEMA,2,Operativa,2000-09-18T00:00:00.000
3,YD,les Borges Blanques,A,41.51135,0.85617,"{'type': 'Point', 'coordinates': [0.85617, 41.51135]}",Escola Agrària de les Borges Blanques,283,416,Les Borges Blanques,18,Garrigues,25,Lleida,1,XEMA,2,Operativa,2017-01-25T00:00:00.000
4,VD,el Canós,A,41.68939,1.20381,"{'type': 'Point', 'coordinates': [1.20381, 41.68939]}",Camí de la Figuerosa,429,730,Els Plans de Sió,32,Segarra,25,Lleida,1,XEMA,2,Operativa,1988-10-22T00:00:00.000
5,WX,Camarasa,A,41.9178,0.88175,"{'type': 'Point', 'coordinates': [0.88175, 41.9178]}",Camarasa,668,537,Camarasa,23,Noguera,25,Lleida,1,XEMA,2,Operativa,2006-03-07T00:00:00.000
6,XV,Sant Cugat del Vallès - CAR,A,41.48311,2.07956,"{'type': 'Point', 'coordinates': [2.07956, 41.48311]}",Centre d'Alt Rendiment,158,895,Sant Cugat del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,2013-08-08T00:00:00.000
7,U1,Cabanes,A,42.30648,2.95481,"{'type': 'Point', 'coordinates': [2.95481, 42.30648]}","Mas St. Feliu, S.A., camí de St. Feli, s/n",31,33,Cabanes,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1991-06-11T00:00:00.000
8,CY,Muntanyola,A,41.87813,2.17873,"{'type': 'Point', 'coordinates': [2.17873, 41.87813]}",Esglèsia de St. Quirze i Sta. Julita,816,571,Muntanyola,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1996-01-12T00:00:00.000
9,D6,Portbou,A,42.43515,3.16622,"{'type': 'Point', 'coordinates': [3.16622, 42.43515]}",Punta de l'Aucell  (zona fronterera),196,65,Portbou,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1998-03-25T00:00:00.000
10,D3,Vallirana,A,41.38197,1.93564,"{'type': 'Point', 'coordinates': [1.93564, 41.38197]}",C. Arquitecte Baldric,252,315,Vallirana,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,1995-10-28T00:00:00.000
11,Z1,Bonaigua (2.266 m),A,42.64691,0.98486,"{'type': 'Point', 'coordinates': [0.98486, 42.64691]}",Port de la Bonaigua,2266,622,Alt Àneu,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,1997-11-06T00:00:00.000
12,X1,Falset,A,41.15374,0.81953,"{'type': 'Point', 'coordinates': [0.81953, 41.15374]}",Abocador comarcal. Crta de Porrera,359,668,Falset,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2006-12-20T00:00:00.000
13,VH,Gimenells,A,41.65814,0.39301,"{'type': 'Point', 'coordinates': [0.39301, 41.65814]}",IRTA - Estació de Gimenells,259,757,Gimenells i el Pla de la Font,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1996-12-10T00:00:00.000
14,WK,Alfarràs,A,41.81949,0.57768,"{'type': 'Point', 'coordinates': [0.57768, 41.81949]}","Escola de Capacitació Agrària d'Alfarràs(de 1997 a 2001, és Almenar)",268,746,Alfarràs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1997-09-17T00:00:00.000
15,YL,Riudecanyes,A,41.1227,0.96951,"{'type': 'Point', 'coordinates': [0.96951, 41.1227]}",els Gorgs,170,229,Riudecanyes,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,2019-02-06T00:00:00.000
16,CT,el Pont de Suert,A,42.39811,0.74362,"{'type': 'Point', 'coordinates': [0.74362, 42.39811]}",Depuradora municipal,823,138,El Pont de Suert,5,Alta Ribagorça,25,Lleida,1,XEMA,2,Operativa,1996-02-14T00:00:00.000
17,XR,Prades,A,41.31481,0.98161,"{'type': 'Point', 'coordinates': [0.98161, 41.31481]}",La Comanda,928,226,Prades,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,2013-01-31T00:00:00.000
18,H1,Òdena,A,41.58642,1.65306,"{'type': 'Point', 'coordinates': [1.65306, 41.58642]}",Aeròdrom d'Òdena,333,158,Òdena,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,1999-05-31T00:00:00.000
19,UE,Torroella de Montgrí,A,42.02306,3.15719,"{'type': 'Point', 'coordinates': [3.15719, 42.02306]}",la Feixa Gata,4,280,Torroella de Montgrí,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,1999-06-09T00:00:00.000
20,W4,la Granada,A,41.36619,1.72857,"{'type': 'Point', 'coordinates': [1.72857, 41.36619]}",Rasa de Sagols,240,98,La Granada,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,1999-12-25T00:00:00.000
21,X3,Alguaire,A,41.74281,0.5358,"{'type': 'Point', 'coordinates': [0.5358, 41.74281]}",Aeròdrom,370,748,Alguaire,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2006-06-02T00:00:00.000
22,US,Alcanar,A,40.55786,0.52329,"{'type': 'Point', 'coordinates': [0.52329, 40.55786]}",El Mas d'en Serra - Barranc de St. Jaume,24,514,Alcanar,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1991-05-06T00:00:00.000
23,KP,Fogars de la Selva,A,41.73894,2.69436,"{'type': 'Point', 'coordinates': [2.69436, 41.73894]}",Can Simó,36,786,Fogars de la Selva,34,Selva,17,Girona,1,XEMA,2,Operativa,1996-01-05T00:00:00.000
24,XD,Ulldemolins,A,41.32,0.8857,"{'type': 'Point', 'coordinates': [0.8857, 41.32]}",Pigrossos,687,683,Ulldemolins,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2008-04-17T00:00:00.000
25,XY,Alcarràs,A,41.56509,0.55027,"{'type': 'Point', 'coordinates': [0.55027, 41.56509]}",Central del revés,122,744,Alcarràs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2013-07-31T00:00:00.000
26,CJ,Organyà,A,42.21624,1.33132,"{'type': 'Point', 'coordinates': [1.33132, 42.21624]}",Càmping municipal,566.5,130,Organyà,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,1996-01-16T00:00:00.000
27,U9,l'Aldea,A,40.76947,0.61635,"{'type': 'Point', 'coordinates': [0.61635, 40.76947]}",Barranc del Mas Roig,62,237,L'Aldea,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1991-06-03T00:00:00.000
28,YB,Olot,A,42.18813,2.47097,"{'type': 'Point', 'coordinates': [2.47097, 42.18813]}",Pla de Dalt,433,443,Olot,19,Garrotxa,17,Girona,1,XEMA,2,Operativa,2016-07-21T00:00:00.000
29,D1,Margalef,A,41.28521,0.75383,"{'type': 'Point', 'coordinates': [0.75383, 41.28521]}",Dipòsit d'aigua,404,674,Margalef,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,1996-01-14T00:00:00.000
30,XG,Parets del Vallès,A,41.56734,2.22619,"{'type': 'Point', 'coordinates': [2.22619, 41.56734]}",CEIP Pau Vila,123,930,Parets del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2008-10-30T00:00:00.000
31,UF,PN del Garraf - el Rascler,A,41.28832,1.90775,"{'type': 'Point', 'coordinates': [1.90775, 41.28832]}",El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf,573,288,Begues,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,1996-02-29T00:00:00.000
32,Z3,Malniu (2.230 m),A,42.46605,1.7785,"{'type': 'Point', 'coordinates': [1.7785, 42.46605]}",Estany de Malniu,2230,377,Meranges,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,1999-11-03T00:00:00.000
33,CE,els Hostalets de Pierola,A,41.53109,1.80813,"{'type': 'Point', 'coordinates': [1.80813, 41.53109]}",Abocador de residus,316,152,Els Hostalets de Pierola,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,1996-03-31T00:00:00.000
34,CU,Vielha,A,42.69856,0.79397,"{'type': 'Point', 'coordinates': [0.79397, 42.69856]}",Prat de Tixineret,1002,879,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,1996-02-15T00:00:00.000
35,WI,Maials,A,41.35741,0.4809,"{'type': 'Point', 'coordinates': [0.4809, 41.35741]}",Paratge d'Argelagar,350,761,Maials,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2000-12-20T00:00:00.000
36,UW,els Alfacs,A,40.62725,0.65922,"{'type': 'Point', 'coordinates': [0.65922, 40.62725]}","IRTA Centre d'Aqüicultura, crta. Poble Nou del Delta, km 5,5",0,521,Sant Carles de la Ràpita,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1994-07-06T00:00:00.000
37,CC,Orís,A,42.07398,2.20862,"{'type': 'Point', 'coordinates': [2.20862, 42.07398]}",Abocador comarcal,626,573,Orís,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1995-11-15T00:00:00.000
